m,n_m,multiplier,variant,reps,seed,success_prob,n_qubits,n_search_qubits,search_space_size,reduction_ratio,depth,cnot_count,u3_count,n_seeds,opt_seconds
15,4,hrs,reduced,5,0,0.418454,17,6,4.0,0.6667,35774,20050,26610,5,818.6
15,4,hrs,reduced,5,1,0.44036,17,6,4.0,0.6667,35774,20050,26610,5,818.6
15,4,hrs,reduced,5,2,0.35998,17,6,4.0,0.6667,35774,20050,26610,5,818.6
15,4,hrs,reduced,5,3,0.488038,17,6,4.0,0.6667,35774,20050,26610,5,818.6
15,4,hrs,reduced,5,4,0.447903,17,6,4.0,0.6667,35774,20050,26610,5,818.6
21,5,hrs,uniform,1,0,0.015913,21,8,8.0,1.0,10990,6120,8168,5,493.1
21,5,hrs,uniform,1,1,0.017963,21,8,8.0,1.0,10990,6120,8168,5,493.1
21,5,hrs,uniform,1,2,0.017963,21,8,8.0,1.0,10990,6120,8168,5,493.1
21,5,hrs,uniform,1,3,0.017963,21,8,8.0,1.0,10990,6120,8168,5,493.1
21,5,hrs,uniform,1,4,0.043468,21,8,8.0,1.0,10990,6120,8168,5,493.1
21,5,hrs,uniform,2,0,0.016839,21,8,8.0,1.0,21979,12240,16317,5,1986.2
21,5,hrs,uniform,2,1,0.046452,21,8,8.0,1.0,21979,12240,16317,5,1986.2
21,5,hrs,uniform,2,2,0.04347,21,8,8.0,1.0,21979,12240,16317,5,1986.2
21,5,hrs,uniform,2,3,0.018804,21,8,8.0,1.0,21979,12240,16317,5,1986.2
21,5,hrs,uniform,2,4,0.080599,21,8,8.0,1.0,21979,12240,16317,5,1986.2
21,5,hrs,uniform,3,0,0.024706,21,8,8.0,1.0,32968,18360,24466,5,3439.0
21,5,hrs,uniform,3,1,0.068599,21,8,8.0,1.0,32968,18360,24466,5,3439.0
21,5,hrs,uniform,3,2,0.063026,21,8,8.0,1.0,32968,18360,24466,5,3439.0
21,5,hrs,uniform,3,3,0.032204,21,8,8.0,1.0,32968,18360,24466,5,3439.0
21,5,hrs,uniform,3,4,0.033355,21,8,8.0,1.0,32968,18360,24466,5,3439.0
21,5,hrs,uniform,4,0,0.043893,21,8,8.0,1.0,43957,24480,32615,5,4546.9
21,5,hrs,uniform,4,1,0.039404,21,8,8.0,1.0,43957,24480,32615,5,4546.9
21,5,hrs,uniform,4,2,0.025822,21,8,8.0,1.0,43957,24480,32615,5,4546.9
21,5,hrs,uniform,4,3,0.044204,21,8,8.0,1.0,43957,24480,32615,5,4546.9
21,5,hrs,uniform,4,4,0.038634,21,8,8.0,1.0,43957,24480,32615,5,4546.9
21,5,hrs,uniform,5,0,0.063541,21,8,8.0,1.0,54946,30600,40764,5,5914.3
21,5,hrs,uniform,5,1,0.052514,21,8,8.0,1.0,54946,30600,40764,5,5914.3
21,5,hrs,uniform,5,2,0.034914,21,8,8.0,1.0,54946,30600,40764,5,5914.3
21,5,hrs,uniform,5,3,0.068575,21,8,8.0,1.0,54946,30600,40764,5,5914.3
21,5,hrs,uniform,5,4,0.097152,21,8,8.0,1.0,54946,30600,40764,5,5914.3
21,5,hrs,reduced,1,0,0.157347,21,8,5.0,0.625,11308,6337,8397,5,787.3
21,5,hrs,reduced,1,1,0.157347,21,8,5.0,0.625,11308,6337,8397,5,787.3
21,5,hrs,reduced,1,2,0.157347,21,8,5.0,0.625,11308,6337,8397,5,787.3
21,5,hrs,reduced,1,3,0.157347,21,8,5.0,0.625,11308,6337,8397,5,787.3
21,5,hrs,reduced,1,4,0.157347,21,8,5.0,0.625,11308,6337,8397,5,787.3
21,5,hrs,reduced,2,0,0.345658,21,8,5.0,0.625,22612,12673,16774,5,2796.9
21,5,hrs,reduced,2,1,0.346136,21,8,5.0,0.625,22612,12673,16774,5,2796.9
21,5,hrs,reduced,2,2,0.346123,21,8,5.0,0.625,22612,12673,16774,5,2796.9
21,5,hrs,reduced,2,3,0.198574,21,8,5.0,0.625,22612,12673,16774,5,2796.9
21,5,hrs,reduced,2,4,0.285437,21,8,5.0,0.625,22612,12673,16774,5,2796.9
21,5,hrs,reduced,3,0,0.45188,21,8,5.0,0.625,33916,19009,25151,5,5890.9
21,5,hrs,reduced,3,1,0.350623,21,8,5.0,0.625,33916,19009,25151,5,5890.9
