m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,seconds,angles
15,4,uniform,3,17,hrs,2048,0.01,2,0.01709,0.17378,464.7,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,0.1,2,0.021484,0.17378,477.9,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,-1.0,3,,0.074036,163.4,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.0001,3,0.03418,0.074036,462.2,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.01,3,0.012695,0.074036,466.4,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.1,3,0.01709,0.074036,449.9,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,-1.0,4,,0.097529,117.4,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.0001,4,0.049316,0.097529,450.1,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.01,4,0.015137,0.097529,451.7,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.1,4,0.014648,0.097529,447.2,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,reduced,3,17,hrs,2048,-1.0,0,,0.432574,120.8,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.0001,0,0.166504,0.432574,467.8,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.01,0,0.017578,0.432574,483.0,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.1,0,0.019043,0.432574,478.3,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,-1.0,1,,0.420052,125.7,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.0001,1,0.157715,0.420052,470.9,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.01,1,0.019531,0.420052,489.6,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.1,1,0.013672,0.420052,490.2,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,-1.0,2,,0.434116,127.3,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
